file_stem,file_name,relative_path,level_1_dir,level_2_dir,level_3_dir,quality_label,quality_reason,visible_chars,chinese_chars,english_chars,digits,abnormal_chars,punctuation_noise,garbled_segments,chinese_ratio,abnormal_ratio,noise_ratio,json_path
5--GB_T 14285-2006 继电保护和安全自动装置技术规程,5--GB_T 14285-2006 继电保护和安全自动装置技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\5--GB_T 14285-2006 继电保护和安全自动装置技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,5--GB_T 14285-2006 继电保护和安全自动装置技术规程.pdf,mixed_quality,partially_readable,48619,38574,1715,3376,0,0,7,0.7934,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\5--GB_T 14285-2006 继电保护和安全自动装置技术规程.json
57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件,57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.pdf,high_quality,readable_chinese_text,10143,6561,819,1440,2,0,1,0.6469,0.0002,0.0002,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\57--DL_T 280-2012 电力系统同步相量测量装置通用技术条件.json
69--DLT 781-2001电力用高频开关整流模块,69--DLT 781-2001电力用高频开关整流模块.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\69--DLT 781-2001电力用高频开关整流模块.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,69--DLT 781-2001电力用高频开关整流模块.pdf,high_quality,readable_chinese_text,5608,3597,557,665,1,0,0,0.6414,0.0002,0.0002,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\69--DLT 781-2001电力用高频开关整流模块.json
9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程,9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.pdf,mixed_quality,partially_readable,10978,8701,904,846,48,0,8,0.7926,0.0044,0.0044,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\9--DL_T 724-2000 电力系统用蓄电池直流电源装置运行与维护技术规程.json
DLT 1074-2019电力用直流和交流一体化不间断电源,DLT 1074-2019电力用直流和交流一体化不间断电源.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\DLT 1074-2019电力用直流和交流一体化不间断电源.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,DLT 1074-2019电力用直流和交流一体化不间断电源.pdf,high_quality,readable_chinese_text,27864,17922,2446,3381,10,0,2,0.6432,0.0004,0.0004,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\DLT 1074-2019电力用直流和交流一体化不间断电源.json
DLT 357-2019 输电线路行波故障测距装置技术条件,DLT 357-2019 输电线路行波故障测距装置技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\DLT 357-2019 输电线路行波故障测距装置技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,DLT 357-2019 输电线路行波故障测距装置技术条件.pdf,high_quality,readable_chinese_text,15331,9830,1505,2120,4,0,1,0.6412,0.0003,0.0003,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\DLT 357-2019 输电线路行波故障测距装置技术条件.json
GBT 26399-2011 电力系统安全稳定控制技术导则,GBT 26399-2011 电力系统安全稳定控制技术导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 26399-2011 电力系统安全稳定控制技术导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,GBT 26399-2011 电力系统安全稳定控制技术导则.pdf,high_quality,readable_chinese_text,14262,11829,492,607,0,0,2,0.8294,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 26399-2011 电力系统安全稳定控制技术导则.json
GBT 37911.2-2019 电力系统北斗卫星授时应用接口 第2部分：检测规范,GBT 37911.2-2019 电力系统北斗卫星授时应用接口 第2部分：检测规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 37911.2-2019 电力系统北斗卫星授时应用接口 第2部分：检测规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,GBT 37911.2-2019 电力系统北斗卫星授时应用接口 第2部分：检测规范.pdf,low_quality,garbled_or_noisy,8137,397,1867,1530,203,0,11,0.0488,0.0249,0.0249,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 37911.2-2019 电力系统北斗卫星授时应用接口 第2部分：检测规范.json
GBT 40588-2021电力系统自动低压减负荷技术规定,GBT 40588-2021电力系统自动低压减负荷技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 40588-2021电力系统自动低压减负荷技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,GBT 40588-2021电力系统自动低压减负荷技术规定.pdf,low_quality,garbled_or_noisy,1776,203,350,338,32,0,4,0.1143,0.018,0.018,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 40588-2021电力系统自动低压减负荷技术规定.json
GBT 40592-2021电力系统自动高频切除发电机组技术规定,GBT 40592-2021电力系统自动高频切除发电机组技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 40592-2021电力系统自动高频切除发电机组技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,GBT 40592-2021电力系统自动高频切除发电机组技术规定.pdf,high_quality,readable_chinese_text,5812,3898,80,553,0,0,0,0.6707,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 40592-2021电力系统自动高频切除发电机组技术规定.json
GBT 40599-2021继电保护及安全自动装置在线监视与分析技术规范,GBT 40599-2021继电保护及安全自动装置在线监视与分析技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 40599-2021继电保护及安全自动装置在线监视与分析技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,GBT 40599-2021继电保护及安全自动装置在线监视与分析技术规范.pdf,low_quality,garbled_or_noisy,7123,343,1884,866,180,0,13,0.0482,0.0253,0.0253,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\GBT 40599-2021继电保护及安全自动装置在线监视与分析技术规范.json
防止电力生产事故的二十五项重点要求（2023版）,防止电力生产事故的二十五项重点要求（2023版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\防止电力生产事故的二十五项重点要求（2023版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,防止电力生产事故的二十五项重点要求（2023版）.pdf,high_quality,readable_chinese_text,194163,157115,2763,14042,66,0,0,0.8092,0.0003,0.0003,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\防止电力生产事故的二十五项重点要求（2023版）.json
Q／ HN—1—0000.08.012 — 2014  扉页,Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\130-- QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,130-- QHN-1-0000.08.012-2014风力发电场运行导则,high_quality,readable_chinese_text,106,38,12,34,0,0,0,0.3585,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\130-- QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014 扉页.json
Q／ HN—1—0000.08.012 — 2014  正文,Q／ HN—1—0000.08.012 — 2014  正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\130-- QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014  正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,130-- QHN-1-0000.08.012-2014风力发电场运行导则,high_quality,readable_chinese_text,42282,33478,1215,2506,0,0,0,0.7918,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\130-- QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014 正文.json
Q／ HN—1—0000.08.012 — 2014  版权,Q／ HN—1—0000.08.012 — 2014  版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\130-- QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014  版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,130-- QHN-1-0000.08.012-2014风力发电场运行导则,high_quality,readable_chinese_text,287,157,26,70,0,0,0,0.547,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\130-- QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014 版权.json
扉页,扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则\扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则,high_quality,readable_chinese_text,111,43,12,34,0,0,0,0.3874,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则\扉页.json
正文,正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则\正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则,high_quality,readable_chinese_text,40073,29815,1097,3858,238,0,0,0.744,0.0059,0.0059,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则\正文.json
版权,版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则\版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则,high_quality,readable_chinese_text,292,162,26,70,0,0,0,0.5548,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\131QHN-1-0000.08.013-2014风力发电场检修与维护管理导则\版权.json
BQ,BQ.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）\BQ.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）,high_quality,readable_chinese_text,298,166,26,70,0,0,0,0.557,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）\BQ.json
FY,FY.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）\FY.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）,high_quality,readable_chinese_text,117,47,12,34,0,0,0,0.4017,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）\FY.json
zw,zw.pdf,中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）\zw.pdf,中国华能集团有限公司2025年度风电技术监督用标准,3-风电继保监督标准,18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）,high_quality,readable_chinese_text,88211,67417,3974,6223,0,0,0,0.7643,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\3-风电继保监督标准\18--98 QHN-1-0000.08.015-2014风力发电场检修与维护技术导则（电控系统分册）\zw.json
1--GB_T 12325-2008供电电压偏差,1--GB_T 12325-2008供电电压偏差.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\1--GB_T 12325-2008供电电压偏差.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,1--GB_T 12325-2008供电电压偏差.pdf,high_quality,readable_chinese_text,695,290,255,80,0,0,0,0.4173,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\1--GB_T 12325-2008供电电压偏差.json
18--DLT 1028-2006 电能质量测试分析仪检定规程,18--DLT 1028-2006 电能质量测试分析仪检定规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\18--DLT 1028-2006 电能质量测试分析仪检定规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,18--DLT 1028-2006 电能质量测试分析仪检定规程.pdf,low_quality,garbled_or_noisy,840,100,600,0,0,0,0,0.119,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\18--DLT 1028-2006 电能质量测试分析仪检定规程.json
35--NB_T 31054-2014凤电机组电网适应性测试规程,35--NB_T 31054-2014凤电机组电网适应性测试规程.PDF,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\35--NB_T 31054-2014凤电机组电网适应性测试规程.PDF,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,35--NB_T 31054-2014凤电机组电网适应性测试规程.PDF,mixed_quality,partially_readable,7492,5435,626,642,9,0,7,0.7254,0.0012,0.0012,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\35--NB_T 31054-2014凤电机组电网适应性测试规程.json
4--GB_T 15543-2008三相电压不平衡,4--GB_T 15543-2008三相电压不平衡.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\4--GB_T 15543-2008三相电压不平衡.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,4--GB_T 15543-2008三相电压不平衡.pdf,high_quality,readable_chinese_text,695,290,255,80,0,0,0,0.4173,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\4--GB_T 15543-2008三相电压不平衡.json
9--GB_T 19963-2011 风电场接入电力系统技术规定,9--GB_T 19963-2011 风电场接入电力系统技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\9--GB_T 19963-2011 风电场接入电力系统技术规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,9--GB_T 19963-2011 风电场接入电力系统技术规定.pdf,mixed_quality,partially_readable,6692,4936,440,748,0,0,3,0.7376,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\9--GB_T 19963-2011 风电场接入电力系统技术规定.json
GBT 40427-2021电力系统电压和无功电力技术导则,GBT 40427-2021电力系统电压和无功电力技术导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40427-2021电力系统电压和无功电力技术导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,GBT 40427-2021电力系统电压和无功电力技术导则.pdf,low_quality,garbled_or_noisy,4551,319,1147,767,104,0,11,0.0701,0.0229,0.0229,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40427-2021电力系统电压和无功电力技术导则.json
GBT 40586-2021并网电源涉网保护技术要求,GBT 40586-2021并网电源涉网保护技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40586-2021并网电源涉网保护技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,GBT 40586-2021并网电源涉网保护技术要求.pdf,low_quality,garbled_or_noisy,6949,619,2068,1056,188,0,21,0.0891,0.0271,0.0271,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40586-2021并网电源涉网保护技术要求.json
GBT 40607-2021调度侧风电或光伏功率预测系统技术要求,GBT 40607-2021调度侧风电或光伏功率预测系统技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40607-2021调度侧风电或光伏功率预测系统技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,GBT 40607-2021调度侧风电或光伏功率预测系统技术要求.pdf,mixed_quality,partially_readable,3864,533,562,495,127,0,7,0.1379,0.0329,0.0329,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40607-2021调度侧风电或光伏功率预测系统技术要求.json
GBT 40615-2021电力系统电压稳定评价导则,GBT 40615-2021电力系统电压稳定评价导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40615-2021电力系统电压稳定评价导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,GBT 40615-2021电力系统电压稳定评价导则.pdf,low_quality,garbled_or_noisy,2433,141,522,382,56,0,3,0.058,0.023,0.023,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\GBT 40615-2021电力系统电压稳定评价导则.json
Q／ HN—1—0000.08.012 — 2014  扉页,Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\QHN-1-0000.08.012 -2014   风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,QHN-1-0000.08.012 -2014   风力发电场运行导则,high_quality,readable_chinese_text,106,38,12,34,0,0,0,0.3585,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\QHN-1-0000.08.012 -2014   风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014 扉页.json
Q／ HN—1—0000.08.012 — 2014  正文,Q／ HN—1—0000.08.012 — 2014  正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\QHN-1-0000.08.012 -2014   风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014  正文.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,QHN-1-0000.08.012 -2014   风力发电场运行导则,high_quality,readable_chinese_text,42282,33478,1215,2506,0,0,0,0.7918,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\QHN-1-0000.08.012 -2014   风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014 正文.json
Q／ HN—1—0000.08.012 — 2014  版权,Q／ HN—1—0000.08.012 — 2014  版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\QHN-1-0000.08.012 -2014   风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014  版权.pdf,中国华能集团有限公司2025年度风电技术监督用标准,4-风电电能监督标准,QHN-1-0000.08.012 -2014   风力发电场运行导则,high_quality,readable_chinese_text,287,157,26,70,0,0,0,0.547,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\4-风电电能监督标准\QHN-1-0000.08.012 -2014   风力发电场运行导则\3-31  10：30  Q／ HN—1—0000.08.012 — 2014   PDF\Q／ HN—1—0000.08.012 — 2014 版权.json
CCSC_PCS02029-2017 中国船级社标准--风力发电机组主齿轮箱检修技术规范,CCSC_PCS02029-2017 中国船级社标准--风力发电机组主齿轮箱检修技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\CCSC_PCS02029-2017 中国船级社标准--风力发电机组主齿轮箱检修技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,参考标准,high_quality,readable_chinese_text,11001,7950,313,1210,0,0,0,0.7227,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\CCSC_PCS02029-2017 中国船级社标准--风力发电机组主齿轮箱检修技术规范.json
JB_T 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件,JB_T 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\JB_T 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,参考标准,high_quality,readable_chinese_text,3039,1780,359,467,0,0,0,0.5857,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\JB_T 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件.json
JB_T 10427-2004 风力发电机组 一般液压系统,JB_T 10427-2004 风力发电机组 一般液压系统.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\JB_T 10427-2004 风力发电机组 一般液压系统.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,参考标准,high_quality,readable_chinese_text,4620,1914,1650,594,0,0,0,0.4143,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\JB_T 10427-2004 风力发电机组 一般液压系统.json
NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范,NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,参考标准,high_quality,readable_chinese_text,10805,7710,788,1026,4,0,2,0.7136,0.0004,0.0004,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\NB_T 31080-2016 海上风力发电机组钢制基桩及承台制作技术规范.json
