file_stem,file_name,relative_path,level_1_dir,level_2_dir,level_3_dir,quality_label,quality_reason,visible_chars,chinese_chars,english_chars,digits,abnormal_chars,punctuation_noise,garbled_segments,chinese_ratio,abnormal_ratio,noise_ratio,json_path
中国华能集团公司电力技术监督管理办法2015,中国华能集团公司电力技术监督管理办法2015.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\中国华能集团公司电力技术监督管理办法2015.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,参考标准,high_quality,readable_chinese_text,15850,12667,185,1016,0,0,0,0.7992,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\参考标准\中国华能集团公司电力技术监督管理办法2015.json
2018（306号OA）附件6：中国华能集团有限公司风力发电场金属监督标准（2018版）,2018（306号OA）附件6：中国华能集团有限公司风力发电场金属监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\2018（306号OA）附件6：中国华能集团有限公司风力发电场金属监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,常用标准,high_quality,readable_chinese_text,40176,27186,2399,5506,0,0,0,0.6767,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\2018（306号OA）附件6：中国华能集团有限公司风力发电场金属监督标准（2018版）.json
GB∕T 25385-2019 风力发电机组 运行及维护要求,GB∕T 25385-2019 风力发电机组 运行及维护要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\GB∕T 25385-2019 风力发电机组 运行及维护要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,常用标准,low_quality,garbled_or_noisy,6063,97,1591,690,179,0,12,0.016,0.0295,0.0295,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\GB∕T 25385-2019 风力发电机组 运行及维护要求.json
NB_T 31006-2011 海上风电场钢结构防腐蚀技术标准,NB_T 31006-2011 海上风电场钢结构防腐蚀技术标准.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\NB_T 31006-2011 海上风电场钢结构防腐蚀技术标准.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,常用标准,mixed_quality,partially_readable,11267,6884,1109,1472,0,0,5,0.611,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\NB_T 31006-2011 海上风电场钢结构防腐蚀技术标准.json
7d301854239e4b3a9571adc6c3b8cec8,7d301854239e4b3a9571adc6c3b8cec8.pdf,中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\689f394b08bb4fbea6df1db71bdeb99d\7d301854239e4b3a9571adc6c3b8cec8.pdf,中国华能集团有限公司2025年度风电技术监督用标准,5-风电金属监督标准,常用标准,high_quality,readable_chinese_text,40176,27186,2399,5506,0,0,0,0.6767,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\5-风电金属监督标准\常用标准\689f394b08bb4fbea6df1db71bdeb99d\7d301854239e4b3a9571adc6c3b8cec8.json
2018（306号OA）附件3：中国华能集团有限公司风力发电场化学监督标准（2018版）,2018（306号OA）附件3：中国华能集团有限公司风力发电场化学监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\2018（306号OA）附件3：中国华能集团有限公司风力发电场化学监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,2018（306号OA）附件3：中国华能集团有限公司风力发电场化学监督标准（2018版）.pdf,high_quality,readable_chinese_text,61750,38803,4812,8900,49,0,0,0.6284,0.0008,0.0008,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\2018（306号OA）附件3：中国华能集团有限公司风力发电场化学监督标准（2018版）.json
DLT 290-2012      电厂辅机用油运行及维护管理导则（现行）,DLT 290-2012      电厂辅机用油运行及维护管理导则（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 290-2012      电厂辅机用油运行及维护管理导则（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,DLT 290-2012      电厂辅机用油运行及维护管理导则（现行）.pdf,high_quality,readable_chinese_text,4334,2994,370,581,0,0,2,0.6908,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 290-2012 电厂辅机用油运行及维护管理导则（现行）.json
DLT 573-2021 电力变压器检修导则,DLT 573-2021 电力变压器检修导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 573-2021 电力变压器检修导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,DLT 573-2021 电力变压器检修导则.pdf,mixed_quality,partially_readable,52609,42418,2384,2725,5,0,4,0.8063,0.0001,0.0001,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 573-2021 电力变压器检修导则.json
DLT 595-2016 六氟化硫电气设备气体监督细则,DLT 595-2016 六氟化硫电气设备气体监督细则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 595-2016 六氟化硫电气设备气体监督细则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,DLT 595-2016 六氟化硫电气设备气体监督细则.pdf,high_quality,readable_chinese_text,3921,2855,285,411,4,0,1,0.7281,0.001,0.001,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 595-2016 六氟化硫电气设备气体监督细则.json
DLT 617-2019气体绝缘金属封闭开关设备技术条件,DLT 617-2019气体绝缘金属封闭开关设备技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 617-2019气体绝缘金属封闭开关设备技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,DLT 617-2019气体绝缘金属封闭开关设备技术条件.pdf,high_quality,readable_chinese_text,57206,36721,4797,4497,26,0,0,0.6419,0.0005,0.0005,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 617-2019气体绝缘金属封闭开关设备技术条件.json
DLT 941-2005 运行中变压器用六氟化硫质量标准,DLT 941-2005 运行中变压器用六氟化硫质量标准.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 941-2005 运行中变压器用六氟化硫质量标准.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,DLT 941-2005 运行中变压器用六氟化硫质量标准.pdf,high_quality,readable_chinese_text,2472,1484,262,233,1,0,0,0.6003,0.0004,0.0004,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\DLT 941-2005 运行中变压器用六氟化硫质量标准.json
GB 18599-2020 一般工业固体废物贮存和填埋污染控制标准,GB 18599-2020 一般工业固体废物贮存和填埋污染控制标准.PDF,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GB 18599-2020 一般工业固体废物贮存和填埋污染控制标准.PDF,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,GB 18599-2020 一般工业固体废物贮存和填埋污染控制标准.PDF,mixed_quality,partially_readable,9574,7142,830,746,0,0,3,0.746,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GB 18599-2020 一般工业固体废物贮存和填埋污染控制标准.json
GBT 14039-2002   液压传动 油液固体颗粒污染等级代号（现行）,GBT 14039-2002   液压传动 油液固体颗粒污染等级代号（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GBT 14039-2002   液压传动 油液固体颗粒污染等级代号（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,GBT 14039-2002   液压传动 油液固体颗粒污染等级代号（现行）.pdf,high_quality,readable_chinese_text,1923,1253,224,254,0,0,0,0.6516,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GBT 14039-2002 液压传动 油液固体颗粒污染等级代号（现行）.json
GBT 7252-2001 变压器油中溶解气体分析和判断导则（现行）,GBT 7252-2001 变压器油中溶解气体分析和判断导则（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GBT 7252-2001 变压器油中溶解气体分析和判断导则（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,GBT 7252-2001 变压器油中溶解气体分析和判断导则（现行）.pdf,high_quality,readable_chinese_text,18630,14378,1030,1234,1,0,2,0.7718,0.0001,0.0001,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GBT 7252-2001 变压器油中溶解气体分析和判断导则（现行）.json
GBT 7631.2-2003 润滑剂、工业用油和相关产品(L类)的分类 第2部分：H组(液压系统)（现行）,GBT 7631.2-2003 润滑剂、工业用油和相关产品(L类)的分类 第2部分：H组(液压系统)（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GBT 7631.2-2003 润滑剂、工业用油和相关产品(L类)的分类 第2部分：H组(液压系统)（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,GBT 7631.2-2003 润滑剂、工业用油和相关产品(L类)的分类 第2部分：H组(液压系统)（现行）.pdf,high_quality,readable_chinese_text,2771,1694,372,319,0,0,0,0.6113,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\GBT 7631.2-2003 润滑剂、工业用油和相关产品(L类)的分类 第2部分：H组(液压系统)（现行）.json
JBT 10427-2004 风力发电机组 一般液压系统,JBT 10427-2004 风力发电机组 一般液压系统.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\JBT 10427-2004 风力发电机组 一般液压系统.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,JBT 10427-2004 风力发电机组 一般液压系统.pdf,high_quality,readable_chinese_text,4620,1914,1650,594,0,0,0,0.4143,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\JBT 10427-2004 风力发电机组 一般液压系统.json
JBT 8831-2001       工业闭式齿轮的润滑油选用方法（现行）,JBT 8831-2001       工业闭式齿轮的润滑油选用方法（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\JBT 8831-2001       工业闭式齿轮的润滑油选用方法（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,JBT 8831-2001       工业闭式齿轮的润滑油选用方法（现行）.pdf,high_quality,readable_chinese_text,12686,6742,1280,2794,153,0,2,0.5315,0.0121,0.0121,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\JBT 8831-2001 工业闭式齿轮的润滑油选用方法（现行）.json
NBSHT 6027-2021润滑脂分油的测定 压力过滤法,NBSHT 6027-2021润滑脂分油的测定 压力过滤法.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\NBSHT 6027-2021润滑脂分油的测定 压力过滤法.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,NBSHT 6027-2021润滑脂分油的测定 压力过滤法.pdf,high_quality,readable_chinese_text,3097,1808,561,382,0,0,0,0.5838,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\NBSHT 6027-2021润滑脂分油的测定 压力过滤法.json
SHT 0476-1992 L-HL  液压油换油指标（现行）,SHT 0476-1992 L-HL  液压油换油指标（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0476-1992 L-HL  液压油换油指标（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,SHT 0476-1992 L-HL  液压油换油指标（现行）.pdf,high_quality,readable_chinese_text,1035,665,114,145,0,0,0,0.6425,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0476-1992 L-HL 液压油换油指标（现行）.json
SHT 0535-1993 极压复合锂基润滑脂（现行）,SHT 0535-1993 极压复合锂基润滑脂（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0535-1993 极压复合锂基润滑脂（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,SHT 0535-1993 极压复合锂基润滑脂（现行）.pdf,high_quality,readable_chinese_text,1239,802,179,138,3,0,0,0.6473,0.0024,0.0024,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0535-1993 极压复合锂基润滑脂（现行）.json
SHT 0587-1994 二硫化钼极压锂基润滑脂（现行）,SHT 0587-1994 二硫化钼极压锂基润滑脂（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0587-1994 二硫化钼极压锂基润滑脂（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,SHT 0587-1994 二硫化钼极压锂基润滑脂（现行）.pdf,high_quality,readable_chinese_text,188,127,14,26,0,0,0,0.6755,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0587-1994 二硫化钼极压锂基润滑脂（现行）.json
SHT 0621-1995 发动机冷却液氯含量测定法（现行）,SHT 0621-1995 发动机冷却液氯含量测定法（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0621-1995 发动机冷却液氯含量测定法（现行）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,6-风电化学监督标准,SHT 0621-1995 发动机冷却液氯含量测定法（现行）.pdf,high_quality,readable_chinese_text,1618,1147,146,154,0,0,0,0.7089,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\6-风电化学监督标准\SHT 0621-1995 发动机冷却液氯含量测定法（现行）.json
126 DLT 5003-2017 电力系统调度自动化设计规程,126 DLT 5003-2017 电力系统调度自动化设计规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\126 DLT 5003-2017 电力系统调度自动化设计规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,low_quality,garbled_or_noisy,34936,26351,3061,1713,22,0,42,0.7543,0.0006,0.0006,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\126 DLT 5003-2017 电力系统调度自动化设计规程.json
127 DLT 5191-2004_风力发电场项目建设工程验收规程,127 DLT 5191-2004_风力发电场项目建设工程验收规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\127 DLT 5191-2004_风力发电场项目建设工程验收规程.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,22070,18010,399,1358,0,0,0,0.816,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\127 DLT 5191-2004_风力发电场项目建设工程验收规程.json
130 DLT 5383-2007 风力发电场设计技术规范,130 DLT 5383-2007 风力发电场设计技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\130 DLT 5383-2007 风力发电场设计技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,2825,2443,17,129,0,0,0,0.8648,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\130 DLT 5383-2007 风力发电场设计技术规范.json
132 JBT 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件,132 JBT 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\132 JBT 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,2961,1780,293,467,0,0,0,0.6011,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\132 JBT 10425.1-2004 风力发电机组 偏航系统 第1部分：技术条件.json
134 国家发展与改革委员会令2014年14号 电力监控系统安全防护规定,134 国家发展与改革委员会令2014年14号 电力监控系统安全防护规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\134 国家发展与改革委员会令2014年14号 电力监控系统安全防护规定.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,2718,2530,4,15,0,0,0,0.9308,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\134 国家发展与改革委员会令2014年14号 电力监控系统安全防护规定.json
135 电监安全〔2006〕34号 电力二次系统安全防护总体方案及发电厂二次系统安全防护总体方案,135 电监安全〔2006〕34号 电力二次系统安全防护总体方案及发电厂二次系统安全防护总体方案.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\135 电监安全〔2006〕34号 电力二次系统安全防护总体方案及发电厂二次系统安全防护总体方案.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,low_quality,garbled_or_noisy,30101,22127,4881,987,0,0,20,0.7351,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\135 电监安全〔2006〕34号 电力二次系统安全防护总体方案及发电厂二次系统安全防护总体方案.json
23 GBT 19960.1-2005 风力发电机组 第1部分：通用技术条件,23 GBT 19960.1-2005 风力发电机组 第1部分：通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\23 GBT 19960.1-2005 风力发电机组 第1部分：通用技术条件.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,5332,3505,441,716,0,0,0,0.6574,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\23 GBT 19960.1-2005 风力发电机组 第1部分：通用技术条件.json
24 GBT 19960.2-2005 风力发电机组 第2部分：通用试验方法,24 GBT 19960.2-2005 风力发电机组 第2部分：通用试验方法.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\24 GBT 19960.2-2005 风力发电机组 第2部分：通用试验方法.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,4328,2655,607,485,1,0,0,0.6134,0.0002,0.0002,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\24 GBT 19960.2-2005 风力发电机组 第2部分：通用试验方法.json
27 GBT 25385-2019 风力发电机组 运行及维护要求,27 GBT 25385-2019 风力发电机组 运行及维护要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\27 GBT 25385-2019 风力发电机组 运行及维护要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,low_quality,garbled_or_noisy,6063,97,1591,690,179,0,12,0.016,0.0295,0.0295,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\27 GBT 25385-2019 风力发电机组 运行及维护要求.json
GBT 40585-2021电网运行风险监测、评估及可视化技术规范,GBT 40585-2021电网运行风险监测、评估及可视化技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40585-2021电网运行风险监测、评估及可视化技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,low_quality,garbled_or_noisy,31553,1848,6257,4371,569,0,37,0.0586,0.018,0.018,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40585-2021电网运行风险监测、评估及可视化技术规范.json
GBT 40598-2021电力系统安全稳定控制策略描述规则,GBT 40598-2021电力系统安全稳定控制策略描述规则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40598-2021电力系统安全稳定控制策略描述规则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,low_quality,garbled_or_noisy,16093,255,2914,1827,382,6,31,0.0158,0.0237,0.0241,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40598-2021电力系统安全稳定控制策略描述规则.json
GBT 40604-2021新能源场站调度运行信息交换技术要求,GBT 40604-2021新能源场站调度运行信息交换技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40604-2021新能源场站调度运行信息交换技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,14593,10988,80,1165,0,0,0,0.753,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40604-2021新能源场站调度运行信息交换技术要求.json
GBT 40607-2021调度侧风电或光伏功率预测系统技术要求,GBT 40607-2021调度侧风电或光伏功率预测系统技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40607-2021调度侧风电或光伏功率预测系统技术要求.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,mixed_quality,partially_readable,3864,533,562,495,127,0,7,0.1379,0.0329,0.0329,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40607-2021调度侧风电或光伏功率预测系统技术要求.json
GBT 40773-2021变电站辅助设施监控系统技术规范,GBT 40773-2021变电站辅助设施监控系统技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40773-2021变电站辅助设施监控系统技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,10206,7514,80,1054,0,0,0,0.7362,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\GBT 40773-2021变电站辅助设施监控系统技术规范.json
Q／ HN—1—0000.08.012 — 2014  扉页,Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\137 QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014  扉页.pdf,中国华能集团有限公司2025年度风电技术监督用标准,7-风电监控自动化监督标准,其他标准,high_quality,readable_chinese_text,106,38,12,34,0,0,0,0.3585,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\7-风电监控自动化监督标准\其他标准\137 QHN-1-0000.08.012-2014风力发电场运行导则\Q／ HN—1—0000.08.012 — 2014 扉页.json
